[Map]
001,H     ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 002,He  
003,Li    004,Be    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 005,B     006,C     007,N     008,O     009,F     010,Ne
011,Na    012,Mg    ######### ######### ######### ######### ######### ######### ######### ######### ######### ######### 013,Al    014,Si    015,P     016,S     017,Cl    018,Ar 
019,K     020,Ca    021,Sc    022,Ti    023,V     024,Cr    025,Mn    026,Fe    027,Co    028,Ni    029,Cu    030,Zn    031,Ga    032,Ge    033,As    034,Se    035,Br    036,Kr
037,Rb    038,Sr    039,Y     040,Zr    041,Nb    042,Mo    043,Tc    044,Ru    045,Rh    046,Pd    047,Ag    048,Cd    049,In    050,Sn    051,Sb    052,Te    053,I     054,Xe
055,Cs    056,Ba    ######### 072,Hf    073,Ta    074,W     075,Re    076,Os    077,Ir    078,Pt    079,Au    080,Hg    081,Tl    082,Pb    083,Bi    084,Po    085,At    086,Rn
087,Fr    088,Ra    ######### 104,Rf    105,Db    106,Sg    107,Bh    108,Hs    109,Mt    110,Uun   111,Uuu   112,Uub   113,()    114,(114) 115,()    116,(116) 117,()    118,()
######### ######### 057,La    058,Ce    059,Pr    060,Nd    061,Pm    062,Sm    063,Eu    064,Gd    065,Tb    066,Dy    067,Ho    068,Er    069,Tm    070,Yb    071,Lu    #########
######### ######### 089,Ac    090,Th    091,Pa    092,U     093,Np    094,Pu    095,Am    096,Cm    097,Bk    098,Cf    099,Es    100,Fm    101,Md    102,No    103,Lr    #########

[Data]
001,H,Hydrogen,1.00797,(+1@-1),-259.14,-252.87,0.089,2.1,0.37,Henry Cavendish,Britain,1766,Rocket fuel@ art of the tissues of all plants and animals.
002,He,Helium,4.0026,0,-272.2,-268.9,0.124,-,-,Pierre Janssen,France,1868,Ballons@ lasers and bombs
003,Li,Lithium,6.941,+1,180.5,1342,0.534,1.0,1.23,J.A. Arfvedson,Sweden,1817,Lubricant@ alloys and a heat transfer.
004,Be,Beryllium,9.0122,+2,1278,2970,1.85,1.5,0.89,Friedrich Woehler,Germany@ France,1828,Spring of a watch@ parts of space shuttles and x-rays.
005,B,Boron,10.81,+3,2300,2550,2.35,2.0,0.8,J. Gay-Lussac@ L. Thenard of France@ Sir Humphry Davy,Britain,1808,Crystals@ glasses (all kinds)@ and semi-conductor devices.
006,C,Carbon,12.001,(2@+-4),3550,4827,3.52,2.5,0.77,Sir Humphry Davy,,1800,diamond@ charcoal@ carbon paper.
007,N,Nitrogen,14.0067,(+-3@4@5),-209.9,-195.8,1.25,3.0,0.74,Daniel Rutherford,Britain,1772,fertilizers like urea@ and in pressurized container.
008,O,Oxygen,15.9994,-2,-218.4,-182.9,1.429,3.5,0.74,Joseph Priestly,Britain,1774,H2O (water)@ agent in combustion, steel making and welding.
009,F,Flourine,18.9984,-1,-219.62,-188.14,1.696,4.0,0.72,Henry Moissan,France,1886,tooth paste additive and additive to H2O supply.
010,Ne,Neon,20.179,0,-248.7,-246.0,1.204,-,-,William Ramsy,M. Travers Britain,1898,neon lamps@ TV tubes.
011,Na,Sodium,22.9898,+1,97.81,882.9,0.972,0.9,1.57,Sir Humpry Davy,Britain,1807,Manufracture of salt compounds@ dyes@ drugs and perfumes.
012,Mg,Magnesium,24.305,+2,649,1090,1.74,1.2,1.36,Sir Humpry Davy,Britain,1808,flash bulbs@ fireworks@ bicycle parts.
013,Al,Aluminium,26.9815,+3,660,2467,2.70,1.5,1.25,H. C. Oersted,Denmark,1825,cooking utensils@ electrical wires@ foil and wrapping materials
014,Si,Silicon,28.0855,(2@+-4),1410,2355,2.24,1.8,1.17,J. J. Berzelius,Sweden,1824,transistors@ micro-computers@ rocks and sand.
015,P,Phosphorus,30.9738,+-3.5,44.1,280,1.83,2.1,1.10,1,Henning Brandt,Germany,1669,matches@ detergents@ rat poison@ drugs@ matches
016,S,Sulfur,32.06,(-2@4@6),112.8,444.6,2.07,2.5,1.04,Sir Humpry Davy,Britain,1807,wave lotion@ soap and a component of gun powder@ paper@ textiles
017,Cl,Chlorine,35.453,(+-1@5@7),-100.9,-34.6,3.214,3.0,0.99,Carl W. Scheele,Sweden,1774,purifying drinking H2O@ Wood pulp and bleaching
018,Ar,Argon,39.948,0,189.2,-185.7,1.65,-,-,Sir W Ramsay@ Lord Rayleigh,Britain,1894,electric light bulbs@ flourescent tubes.
019,K,Potassium,39.0983,+1,63.25,759.9,0.87,0.8,2.03,Sir Humphry Davy,Britain,1807,fertilizers@ radioactive rocks@ soap@ glass and matches
020,Ca,Calcium,40.08,+2,839,1484,1.55,1.0,1.74,Sir Humphry Davy,Britain,1808,cement@ battery@ bearings@ fertilizer@ paint
021,Sc,Scandium,44.9559,+3,1539,2832,2.98,1.3,1.44,Lars Nilson,Sweden,1879,Spacecraft materials@ steels and other alloys.
022,Ti,Titanium,47.90,(2@3@4),1660,3287,4.51,1.5,1.32,William Gregor,Britain,1791,aircraft materials@ steels and other alloys.
023,V,Vanadium,50.9415,(2@3@4@5),1890,3380,6.10,1.6,1.22,A. del Rio, Spain,1830,ceramics@ tools of high strength
024,Cr,Chromium,51.996,(2@3@6),1857,2672,7.14,1.6,1.17,L.N. Vanguellin,France,1797,videotapes@ chromium@ plating@ stainless steels.
